Price,Close,High,Low,Open,Volume
Ticker,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS
Date,,,,,
2021-03-24,832.7562255859375,850.5502999558122,828.6434142812727,842.4926078347202,2749823
2021-03-25,813.0736083984375,836.7431504580185,809.2125902017347,833.2178907930495,3654840
2021-03-26,831.7909545898438,837.4984907528233,820.0401237480094,820.7955547939501,2761824
2021-03-30,853.530029296875,855.9640992824509,832.210643849158,832.210643849158,4300037
2021-03-31,832.168701171875,858.6500285614609,830.2801747160947,858.6500285614609,3780505
2021-04-01,832.7562255859375,845.8919450973822,827.5942329514661,839.3450638453003,3555291
2021-04-05,837.4146728515625,845.3884518379849,821.0474423004848,832.6303952137965,5118272
2021-04-06,832.0847778320312,846.0598948004707,829.7346217034977,844.3812045330094,2395572
2021-04-07,841.359619140625,844.0874909439058,824.3208712010976,832.6304088783013,2974419
2021-04-08,863.6860961914062,881.1864207973387,843.541814064493,846.0598493303571,6737118
2021-04-09,883.8305053710938,887.0200581500079,853.2363622469504,863.6442121042741,6029994
2021-04-12,872.7930297851562,888.9085180676876,853.4461344111385,882.1517486571208,7896295
2021-04-13,840.8978881835938,881.5222124932452,825.0762531595906,877.1156506121793,6448995
2021-04-15,833.5955810546875,845.8919556557697,814.4165153686959,840.8978422176425,4373215
2021-04-16,847.9903564453125,850.6762710497437,835.9877315890919,837.6664218131665,2660763
2021-04-19,839.4290161132812,847.2349665464113,825.3280286439989,838.5896710111864,2777425
2021-04-20,825.4120483398438,845.6402461428501,816.9765885237015,835.9877768320383,4028636
2021-04-22,812.3181762695312,827.1745947623158,806.3168895516092,817.1863675960409,5085190
2021-04-23,797.5457153320312,814.9621259619375,793.5168691430731,811.2270300628652,3916517
2021-04-26,807.6179809570312,814.1648634273378,786.4664711664077,798.2173042468023,5053998
2021-04-27,813.5352172851562,828.9371789828431,792.4676763079493,808.0375172672373,10497935
2021-04-28,820.3759155273438,822.5581922803456,812.4860511503821,818.3614668095274,2968625
2021-04-29,819.9561767578125,826.7548509796302,814.6263051025968,826.7548509796302,2747579
2021-04-30,806.1071166992188,819.9563119172758,801.9103908755651,817.3543111688726,3129105
2021-05-03,803.8408203125,809.9680293560169,801.5745782746075,805.7713038153122,3506839
2021-05-04,806.1071166992188,814.0808957641607,802.0782189248606,809.1287388004241,4064221
2021-05-05,806.1071166992188,816.347086725283,800.5254508619341,816.347086725283,3041045
2021-05-06,820.8375854492188,826.503165113437,803.9667174891428,809.9680556993616,4620827
2021-05-07,823.3555908203125,826.1254194203107,815.9273559049086,822.5582027248204,2002597
2021-05-10,831.3714599609375,833.1760727182022,816.7668322976613,826.755061142376,2036101
2021-05-11,820.0820922851562,828.3916289891051,814.5843923099138,825.9155507809945,2029457
2021-05-12,807.7437133789062,820.0401392338574,797.7135807045745,820.0401392338574,3070622
2021-05-14,799.2244873046875,811.1851560697448,790.1595696444516,808.2894049649234,2090820
2021-05-17,800.189697265625,804.0507157850637,791.5024952486241,800.7352921179081,2281200
2021-05-18,814.7942504882812,821.7188475179266,803.2952124476855,806.0650410136319,2000985
2021-05-19,820.5858154296875,827.8461203194366,807.9536297993693,813.3254593103755,2152740
2021-05-20,816.7667236328125,826.5870718771404,810.1359278587984,826.5870718771404,1769194
2021-05-21,822.9779052734375,827.5943035182145,815.7175493602817,819.9982402886301,1534262
2021-05-24,825.663818359375,834.3090629915441,818.4454194710071,822.3903518457527,1830838
2021-05-25,833.1759033203125,840.7719659496317,825.7476687211645,830.9935754029536,2719646
2021-05-26,845.8920288085938,849.4172886715223,833.4697308802586,835.6940160113913,2013788
2021-05-27,855.9640502929688,866.2040698922573,845.1365301570486,845.2204441681231,6393813
2021-05-28,861.3779296875,867.043509249391,849.9208483038518,856.1320226857491,1839013
2021-05-31,857.5169677734375,866.2041693286593,850.2566119476083,860.32875345143,1801746
2021-06-01,864.945068359375,866.2040859261282,850.5502803543424,860.0768261176183,1262702
2021-06-02,853.5719604492188,860.0768333694,834.3089812695684,856.2998318668507,5252186
2021-06-03,851.3897094726562,856.7615387797541,845.22054327819,853.5720375415978,2024676
2021-06-04,855.4606323242188,861.9655063508417,848.5779914846617,855.7543826504141,2315912
2021-06-07,868.2186889648438,872.0376481211833,855.6704680715297,860.2868154078982,1745475
2021-06-08,887.8173217773438,890.4612794599968,870.4429183641215,872.0796004033658,4517995
2021-06-09,883.2008666992188,893.4408357642586,878.1227879455266,887.8172646719873,2163655
2021-06-10,893.818603515625,901.4566233144548,886.7680842939678,889.453947588353,3934077
2021-06-11,900.6172485351562,908.5071125835777,885.4251234552303,893.8185740473566,4988857
2021-06-14,897.4697265625,905.9470913765279,888.0270944148937,900.6172706117021,2757666
2021-06-15,895.4553833007812,917.4042802130753,891.090829355697,897.4698322212541,3484298
2021-06-16,897.3858642578125,904.7720399100956,885.5091102026071,898.0992871249191,1881596
2021-06-17,906.7025756835938,910.43762052433,887.2298096726958,889.6638285797163,3161931
2021-06-18,898.6868286132812,916.2291630815481,885.5091504854424,914.4665587240659,4396398
2021-06-21,892.139892578125,898.1412303015003,885.5090460542372,888.8664263236371,1074790
2021-06-22,887.3556518554688,899.7780010627462,884.417943829611,890.5872126512122,2437289
2021-06-23,886.7261352539062,891.6363863072859,871.617922681351,889.7058514949209,4130539
2021-06-24,906.4927368164062,908.4232715914234,883.4107458326552,886.8101345793655,3617010
2021-06-25,914.466552734375,925.9655404542225,903.9747382238843,912.7039483884378,3200049
2021-06-28,927.560302734375,929.9944241558496,907.4160191786526,915.725556637213,2143755
2021-06-29,913.3333129882812,931.1693948387152,909.0106656009424,930.833636335591,2956332
2021-06-30,919.4605712890625,927.4763581736689,909.2626100420517,913.3753191652986,1917370
2021-07-01,910.8155517578125,922.7342137589759,907.3322483514069,919.9224275607233,1459518
2021-07-02,914.3826904296875,921.1813661252089,902.2960989381318,912.3682414379062,1669409
2021-07-05,902.002197265625,919.0408406601215,899.1063953073296,917.4041587621698,2597359
2021-07-06,880.9347534179688,902.0022964363159,879.4238911467363,902.0022964363159,3865594
2021-07-07,877.8711547851562,889.2862288782709,864.6094597984118,880.9347852207346,3713891
2021-07-08,889.831787109375,892.5596588647936,877.1156875115216,880.4730681335753,2171947
