Price,Close,High,Low,Open,Volume
Ticker,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS
Date,,,,,
2021-03-24,189.86129760742188,191.9169790964628,189.0297939138682,190.02298279716396,10280694
2021-03-25,184.6181640625,190.18466547970982,183.74046259807872,189.72271585658453,25474258
2021-03-26,186.58145141601562,188.33686845613317,185.08011512914888,186.99720326055424,18066738
2021-03-30,193.14112854003906,194.22671290809242,187.08958602442385,187.08958602442385,26339126
2021-03-31,191.31643676757812,193.92644936196228,190.94688270198856,193.92644936196228,14890268
2021-04-01,192.35581970214844,195.33540040185613,191.4088286164715,193.4876019146163,15193886
2021-04-05,196.53646850585938,197.66823659925132,192.26343458526202,192.3789219885214,42432790
2021-04-06,197.32177734375,198.13018917866916,195.1044248070052,197.69134549826322,16641040
2021-04-07,202.3339385986328,202.79588823013654,195.58947115916158,196.32859338908435,27735300
2021-04-08,204.22792053222656,206.00642930784795,203.2578235548346,204.1586309118949,25833228
2021-04-09,207.9235382080078,208.50097526474102,203.25784397008667,204.59749512219082,23398770
2021-04-12,199.8394012451172,207.92351930440523,198.3611568752427,207.8773215245498,30172534
2021-04-13,193.53379821777344,202.12604983972943,190.60041532217366,199.56223509730444,40840640
2021-04-15,198.9617156982422,200.69402684921045,191.70910070715468,193.51070148464484,53517782
2021-04-16,216.74676513671875,218.80243246624346,201.4100322698014,204.04315071603173,218723272
2021-04-19,218.3866729736328,220.7888165279762,213.0049629636564,213.8826643824262,87619710
2021-04-20,217.1625213623047,220.6040376073149,216.10002876708475,219.88802132815795,35461382
2021-04-22,224.8077850341797,228.43409245587773,217.85544872890395,217.85544872890395,85241858
2021-04-23,219.7494354248047,225.1311455693499,219.12580063091175,223.37572859033335,27192006
2021-04-26,221.87440490722656,223.51433457635213,220.34997674488054,221.45865305363984,18629288
2021-04-27,224.06866455078125,224.96947197699174,222.19777417029368,222.38255120455673,14418934
2021-04-28,226.03195190429688,227.83356676793335,222.31326296286085,224.43823411407465,19231068
2021-04-29,226.2860107421875,227.6487535817329,224.36892275251944,227.60256990054168,15282266
2021-04-30,227.6256561279297,236.4257900104331,226.0319244338153,227.04821915145092,58231142
2021-05-03,225.1311492919922,229.12701067066345,223.2371530374962,225.4083218824815,17199462
2021-05-04,222.63661193847656,225.5699805753423,220.71950984986424,225.10803098243963,16204858
2021-05-05,226.6324920654297,229.12701725636526,223.26025129645296,223.95317574380084,23713182
2021-05-06,236.6567840576172,237.81165810454598,225.084951746424,228.06453242653373,48827088
2021-05-07,238.01956176757812,238.620090685163,234.439451910812,237.44212469390615,29333162
