Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2021-03-24,557.0888671875,568.2249455788094,555.0901092092149,556.8033386325017,7299582
2021-03-25,547.9991455078125,559.6111233882085,543.9539933264696,556.2322431848041,4710869
2021-03-26,558.897216796875,561.8477748539274,546.904496679926,552.8532492895374,5761818
2021-03-30,568.8912353515625,570.1285645240233,558.9449073735103,566.2737836780382,4637718
2021-03-31,568.9864501953125,576.7912275999797,566.9876919508523,569.3671937148786,5269919
2021-04-01,581.3120727539062,583.1680950837708,568.557924629319,571.0802188331458,6033653
2021-04-05,579.4561767578125,582.4543717976703,564.1797891921052,582.2164216546117,5353987
2021-04-06,590.5445556640625,591.9246778296867,574.4115276515469,579.4084796319455,7444994
2021-04-07,591.11572265625,598.1114915866506,586.4519347959451,591.068144247192,4757224
2021-04-08,584.6434326171875,595.8270880233771,583.7392105614333,590.6397638971673,3222479
2021-04-09,606.0588989257812,611.0558509781729,580.1223382728915,583.4536396411526,16755446
2021-04-12,589.49755859375,614.7202693687935,585.5476217623094,608.200459820861,15229597
2021-04-13,597.1121215820312,604.9168986227347,586.4043641432527,593.9236126042491,7399207
2021-04-15,602.7277221679688,610.5800770165841,596.3030682009197,603.0608291363485,8588761
2021-04-16,614.9107666015625,618.6703905938308,596.1602831449052,602.7277305285282,9804095
2021-04-19,609.77099609375,620.0028511756303,604.393300185492,612.9595044400895,11340358
2021-04-20,614.0541381835938,627.7124526188778,608.3433349755372,612.7691726058044,13831258
2021-04-22,609.1047973632812,626.2847863426223,607.343931421081,619.3366536751098,11295290
2021-04-23,607.201171875,614.6727829476,599.7771392111927,605.8210494602414,7668180
2021-04-26,604.1077880859375,612.959521104345,600.5861146224249,612.959521104345,6527947
2021-04-27,608.4385375976562,611.484311156578,601.5379832017501,602.2042552448421,5112384
2021-04-28,612.3885498046875,616.1005374131349,607.5343317259943,610.0566266378614,6069155
2021-04-29,613.4354858398438,620.5739903298341,610.1993405670621,617.6710101225643,5676290
2021-04-30,622.9059448242188,634.470287825137,609.2475706886906,611.0560151546621,10874266
2021-05-03,627.427001953125,631.9480550539877,618.7655811565439,622.4300485258557,6567597
2021-05-04,614.0541381835938,632.8521987434464,611.0559432620463,630.091953955568,5604638
2021-05-05,650.4603881835938,654.7434897964973,611.2937801971738,611.2937801971738,25296369
2021-05-06,646.6531982421875,663.119333116884,640.8947594967628,656.5994656898456,11153908
2021-05-07,646.700927734375,657.694213019294,644.940061772628,648.1762070421696,6466334
2021-05-10,664.547119140625,669.5916501599878,650.6507970176478,654.8387424450201,10924222
2021-05-11,673.969970703125,687.0572287410873,662.6435786026125,664.8327083284848,14760511
2021-05-12,668.9729614257812,680.4897823875026,666.2603532249681,680.4897823875026,7250661
2021-05-14,658.1226196289062,676.7303120909455,653.8870948051753,669.1159063290221,6851035
2021-05-17,654.02978515625,664.8326983924522,647.2719662507568,654.8387924037326,6318234
2021-05-18,657.5038452148438,662.310426643389,651.7454631828915,657.6942169541849,4080423
2021-05-19,669.4965209960938,672.685029557883,657.5037993733264,660.8351012529905,7745431
2021-05-20,653.744140625,667.8308342935798,651.9833329630732,666.2603402542354,6226376
2021-05-21,657.1231079101562,661.0254668384798,654.8387634051463,658.4080153859156,3434231
2021-05-24,657.6466674804688,664.7375939065253,656.3617017533492,657.6942458940729,3722957
2021-05-25,662.54833984375,663.7857270338085,657.6941802744118,661.5013824757109,2800233
2021-05-26,669.8771362304688,672.1139021143551,662.6434761434684,665.7844059682636,6235460
