Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2021-03-24,797.6103515625,805.0497350962305,789.5577804810075,793.8497440344528,3874331
2021-03-25,782.4044189453125,796.6700966377763,776.6409356653539,792.9912711530457,4879437
2021-03-26,783.6309204101562,797.0790852119051,779.7477146104059,788.9039151071676,4271178
2021-03-30,814.083251953125,818.1708361162731,788.4541192090934,788.9037434875861,5475000
2021-03-31,803.3330078125,817.5169061757402,800.062940187797,817.5169061757402,4445140
2021-04-01,819.642333984375,828.5532871748611,809.832132261535,810.9766757547728,5269079
2021-04-05,844.9037475585938,850.2176076061321,819.6424544506176,823.2395489032452,9452833
2021-04-06,840.734375,850.7080409665687,834.0715925035726,849.4000339242459,4260257
2021-04-07,847.9283447265625,854.3050153811896,837.7093852124334,842.8597807253651,3551106
2021-04-08,848.1737060546875,861.9897603580032,843.3912525866835,853.4875654179216,4852068
2021-04-09,854.63232421875,862.3170042695334,845.4352576194357,851.9344780984607,3708082
2021-04-12,825.2014770507812,852.6291057865377,818.4978293180554,852.6291057865377,5976427
2021-04-13,803.9459838867188,834.5210800932672,794.7897863986315,827.7357011154277,7773994
2021-04-15,810.8950805664062,813.1841180410304,783.7943737850965,791.3564055530361,7430279
2021-04-16,827.9403076171875,831.2512413512347,813.020622982269,817.516966296902,4677808
2021-04-19,813.1021728515625,840.7750960121363,807.5839345633354,814.2467163072859,6239343
2021-04-20,785.8789672851562,822.4219818248185,782.3636546782817,822.4219818248185,9742418
2021-04-22,786.3693237304688,794.5444906269399,780.9736836404423,789.7211221991183,4970596
2021-04-23,781.2600708007812,796.9563558724085,776.8045935717183,788.0863171784279,6023490
2021-04-26,759.3096313476562,780.3198241243824,754.6089095155817,768.4658299391508,19619972
2021-04-27,759.3506469726562,767.2805718675838,754.8952192317855,761.1083284849967,6406825
2021-04-28,755.2220458984375,765.0731138290603,753.5461463579196,761.2716904660223,6845677
2021-04-29,756.6778564453125,773.4411762029772,754.6396287393459,773.4411762029772,8588734
2021-04-30,747.8594360351562,761.2118301129444,744.906110674758,752.8925751390324,10921664
2021-05-03,755.1387939453125,757.426589092853,741.2456278030901,747.6930504916131,6871176
2021-05-04,749.5233764648438,761.2119209425543,748.1090927951825,757.0522929592616,6217026
2021-05-05,756.5531005859375,757.7177658669845,749.2321152687057,752.0190962723601,2696835
2021-05-06,762.0437622070312,768.6159940039959,749.7728610142871,758.71606018866,6319104
2021-05-07,762.3766479492188,766.5362759917687,760.1304386508999,763.7077086121509,3651558
2021-05-10,760.33837890625,766.7025790009179,757.2186580431658,763.7492534058729,4029147
2021-05-11,754.8059692382812,759.0904057220876,752.9757230478193,755.8042899582333,3818154
2021-05-12,753.8077392578125,756.1787576001973,744.5733857342494,753.8493761577109,4076940
2021-05-14,757.3434448242188,758.7161423661568,745.8212956483109,756.2203655820575,5184569
2021-05-17,767.1602172851562,771.3614314368372,757.1354731193086,760.8791383433883,7956551
2021-05-18,775.0217895507812,781.5940214307044,769.1151387042962,772.0268780071248,5913426
2021-05-19,774.8555297851562,782.8419952925474,769.6559947473471,772.0269624139044,4178834
2021-05-20,769.0320434570312,777.6840392142016,767.076987834803,775.3546576940676,4753782
2021-05-21,774.2314453125,777.5591471338155,767.867195268554,769.9470089068762,4161547
2021-05-24,776.0202026367188,781.178151599212,771.7774023157136,774.9387094937871,4191877
2021-05-25,782.5091552734375,785.1713271998495,777.9752016284475,780.3461691451249,5032874
2021-05-26,786.835205078125,789.4557909713683,775.8121911197369,782.0100468592287,5017674
2021-05-27,784.0067138671875,796.06963519207,780.4293931287857,789.4974025733468,9078274
2021-05-28,784.1315307617188,790.121405746092,779.8471440236484,782.051716584972,4098094
2021-05-31,786.3360595703125,788.5406318666134,775.8537669136105,783.2995109266159,4171524
