Price,Close,High,Low,Open,Volume
Ticker,BIOCON.NS,BIOCON.NS,BIOCON.NS,BIOCON.NS,BIOCON.NS
Date,,,,,
2021-03-24,398.0467834472656,399.3336671867767,393.6911420866626,393.98810596194767,2567380
2021-03-25,394.4830322265625,401.70943453468595,393.34463052185185,397.7497554157242,3411079
2021-03-26,391.2658386230469,394.97803823047616,386.8111990941317,392.50323849218995,4226903
2021-03-30,404.332763671875,405.3721674017434,395.0274931703907,396.8588508844043,4193149
2021-03-31,404.7782287597656,409.2328681743117,401.7094711210869,408.83690626834345,5228409
2021-04-01,406.41156005859375,409.03487168527835,404.6792004160423,405.07519250230354,1860699
2021-04-05,402.3529052734375,406.4115521894372,397.5022742002501,406.4115521894372,1318706
2021-04-06,410.0743103027344,411.36119406279147,401.01654944244456,402.50142926249066,2107437
2021-04-07,410.0248107910156,414.281454029197,408.2924510668792,411.75717051515204,2467709
2021-04-08,409.0843811035156,412.35110454921625,407.0055433608168,409.82682099662543,2086999
2021-04-09,416.06329345703125,420.12197081169944,408.04496698287784,408.88637467241944,3202010
2021-04-12,400.2245788574219,416.2612923345548,396.9578554724292,414.47944870818714,3599430
2021-04-13,402.8478698730469,408.19343068708486,397.3043130173964,402.60038992600846,2068043
2021-04-15,400.5215759277344,407.7479787230547,395.9679385919359,407.7479787230547,2744731
2021-04-16,408.6883850097656,414.3309095993468,395.32446805187544,398.9376691873883,5669099
2021-04-19,402.2539367675781,408.68841578742877,395.7204597208154,408.68841578742877,4445076
2021-04-20,397.1063537597656,405.81766682841845,393.7901161202773,405.81766682841845,4436026
2021-04-22,395.3244934082031,400.6700544922356,394.631537437514,397.9477749373161,3847504
2021-04-23,393.5921325683594,399.28417162149475,392.0082547898436,395.3244922801832,3386298
2021-04-26,391.5132751464844,397.15583000754566,391.0183152537581,397.15583000754566,2469336
2021-04-27,394.0870666503906,395.0274723063273,388.2465460468412,391.01830932006516,4372334
2021-04-28,386.9101867675781,395.7699514674809,383.59394916506295,393.98810778760014,11363709
2021-04-29,389.9294128417969,398.19524941864364,382.05956836272804,384.0888919190397,13684521
2021-04-30,375.82305908203125,387.85057902781006,374.38769344814744,387.85057902781006,9710688
2021-05-03,374.6846618652344,378.0008993926907,371.31894042944015,377.1099775729152,3474482
2021-05-04,369.4381103515625,378.2978751288434,368.74515435335854,377.1594733117573,3492859
2021-05-05,377.4564208984375,378.7433348095596,366.4188207831929,371.219938023623,6252361
2021-05-06,375.8725891113281,380.5251944039172,373.59575526988664,379.0898287092709,3004849
2021-05-07,377.3079528808594,380.0797466463036,375.57559310619064,377.7039147873637,2241936
2021-05-10,380.62420654296875,383.54448237025963,378.59488280533157,379.1888105851563,3712233
2021-05-11,383.742431640625,387.7021111214207,378.4958684125534,379.683754130818,4098740
2021-05-12,381.5646057128906,386.5636887069367,380.2776918242567,383.74241118526635,2213659
2021-05-14,384.88079833984375,388.93947547941093,382.35651498508895,383.09895482001144,3423148
2021-05-17,381.91107177734375,389.6819487584523,380.723186065491,389.6819487584523,2226281
2021-05-18,381.1191101074219,384.2373513299464,380.3271863781932,383.14843354479154,1749322
2021-05-19,382.75250244140625,383.5939403525579,378.9413049920412,379.1393010452379,2120283
2021-05-20,379.6837463378906,384.484863651805,378.3473787085163,382.7525039145131,1321922
2021-05-21,378.6443176269531,382.50499874508023,377.8028797680135,380.6241571962444,1448078
2021-05-24,379.5848083496094,380.673696102081,377.35748851234854,378.79285428149694,1993913
2021-05-25,377.70391845703125,381.7131121004768,377.20895851660276,380.62419418954255,1427832
2021-05-26,379.18878173828125,382.5545333543486,376.71398214408816,378.842333963059,2349815
2021-05-27,378.0503845214844,380.97066016179645,376.1695428492295,379.6342623228408,3269387
2021-05-28,378.2978820800781,382.3070757834291,376.26855837798183,379.1393200333709,2268969
2021-05-31,384.2868957519531,385.67277749238116,378.347376684442,380.1292203207128,3454331
2021-06-01,381.9606018066406,387.5041593227337,381.11916384447295,386.7617193931665,1748372
2021-06-02,384.1878967285156,385.27681459672476,380.62417925526574,382.10905901829017,2300520
2021-06-03,381.2181396484375,383.94041923144897,378.9908199896099,383.593941242529,2896950
